delivery_year,auction_type,lda,clearing_price_mw_day,rto_price_mw_day,price_adder_vs_rto,source_file
2020/2021,Base Residual Auction,RTO,76.53,76.53,0.0,data/raw/pjm/2020-2021-base-residual-auction-report.pdf
2020/2021,Base Residual Auction,MAAC,86.04,76.53,9.510000000000005,data/raw/pjm/2020-2021-base-residual-auction-report.pdf
2020/2021,Base Residual Auction,EMAAC,187.87,76.53,111.34,data/raw/pjm/2020-2021-base-residual-auction-report.pdf
2020/2021,Base Residual Auction,COMED,188.12,76.53,111.59,data/raw/pjm/2020-2021-base-residual-auction-report.pdf
2020/2021,Base Residual Auction,DEOK,130.0,76.53,53.47,data/raw/pjm/2020-2021-base-residual-auction-report.pdf
2021/2022,Base Residual Auction,RTO,140.0,140.0,0.0,data/raw/pjm/2021-2022-base-residual-auction-report.pdf
2021/2022,Base Residual Auction,EMAAC,165.73,140.0,25.72999999999999,data/raw/pjm/2021-2022-base-residual-auction-report.pdf
2021/2022,Base Residual Auction,PSEG,204.29,140.0,64.28999999999999,data/raw/pjm/2021-2022-base-residual-auction-report.pdf
2021/2022,Base Residual Auction,BGE,200.3,140.0,60.30000000000001,data/raw/pjm/2021-2022-base-residual-auction-report.pdf
2021/2022,Base Residual Auction,ATSI,171.33,140.0,31.330000000000013,data/raw/pjm/2021-2022-base-residual-auction-report.pdf
2021/2022,Base Residual Auction,COMED,195.55,140.0,55.55000000000001,data/raw/pjm/2021-2022-base-residual-auction-report.pdf
2022/2023,Base Residual Auction,RTO,50.0,50.0,0.0,data/raw/pjm/2022-2023-base-residual-auction-report.pdf
2022/2023,Base Residual Auction,MAAC,95.79,50.0,45.790000000000006,data/raw/pjm/2022-2023-base-residual-auction-report.pdf
2022/2023,Base Residual Auction,EMAAC,97.86,50.0,47.86,data/raw/pjm/2022-2023-base-residual-auction-report.pdf
2022/2023,Base Residual Auction,BGE,126.5,50.0,76.5,data/raw/pjm/2022-2023-base-residual-auction-report.pdf
2022/2023,Base Residual Auction,COMED,68.96,50.0,18.959999999999994,data/raw/pjm/2022-2023-base-residual-auction-report.pdf
2022/2023,Base Residual Auction,DEOK,71.69,50.0,21.689999999999998,data/raw/pjm/2022-2023-base-residual-auction-report.pdf
2023/2024,Base Residual Auction,RTO,34.13,34.13,0.0,data/raw/pjm/2023-2024-base-residual-auction-report.pdf
2023/2024,Base Residual Auction,MAAC,49.49,34.13,15.36,data/raw/pjm/2023-2024-base-residual-auction-report.pdf
2023/2024,Base Residual Auction,DPL-SOUTH,69.95,34.13,35.82,data/raw/pjm/2023-2024-base-residual-auction-report.pdf
2023/2024,Base Residual Auction,BGE,69.95,34.13,35.82,data/raw/pjm/2023-2024-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,RTO,28.92,28.92,0.0,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,MAAC,49.49,28.92,20.57,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,SWMAAC,49.49,28.92,20.57,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,PEPCO,49.49,28.92,20.57,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,BGE,73.0,28.92,44.08,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,EMAAC,53.6,28.92,24.68,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,DPL-SOUTH,426.17,28.92,397.25,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,PSEG,53.6,28.92,24.68,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,PS-NORTH,53.6,28.92,24.68,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,ATSI,28.92,28.92,0.0,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,ATSI-CLEVELAND,28.92,28.92,0.0,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,PPL,49.49,28.92,20.57,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,COMED,28.92,28.92,0.0,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,DAY,28.92,28.92,0.0,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2024/2025,Base Residual Auction,DEOK,96.24,28.92,67.32,data/raw/pjm/2024-2025-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,RTO,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,ATSI,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,ATSI-CLEVELAND,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,COMED,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,DAY,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,DEOK,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,DOM,444.26,269.92,174.33999999999997,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,MAAC,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,PPL,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,EMAAC,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,DPL-SOUTH,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,PSEG,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,PS-NORTH,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,SWMAAC,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,BGE,466.35,269.92,196.43,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2025/2026,Base Residual Auction,PEPCO,269.92,269.92,0.0,data/raw/pjm/2025-2026-base-residual-auction-report.pdf
2026/2027,Base Residual Auction,RTO,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,ATSI,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,ATSI-CLEVELAND,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,COMED,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,DAY,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,DEOK,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,DOM,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,MAAC,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,PPL,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,EMAAC,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,DPL-SOUTH,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,PSEG,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,PS-NORTH,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,JCPL,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,SWMAAC,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,BGE,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
2026/2027,Base Residual Auction,PEPCO,329.17,329.17,0.0,data/raw/pjm/2026-2027-bra-report.pdf
